"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"364","041190","우리기술투자",7490,490,7,"KOSDAQ","금융",6.2916e+11,140,53.5,899,8.33,0,0
"365","192650","드림텍",9540,-140,-1.45,"KOSPI","전기전자",628823166120,417,22.88,3575,2.67,160,1.68
"366","001430","세아베스틸",17500,350,2.04,"KOSPI","철강금속",627587082500,483,36.23,51512,0.34,300,1.71
"367","005610","SPC삼립",72500,500,0.69,"KOSPI","음식료품",625603152500,2492,29.09,37411,1.94,1104,1.52
"368","074600","원익QnC",23750,-900,-3.65,"KOSDAQ","비금속",6.2434e+11,99,239.9,8103,2.93,0,0
"369","061970","엘비세미콘",14250,0,0,"KOSDAQ","반도체",623930436000,744,19.15,3419,4.17,50,0.35
"370","027410","BGF",6490,340,5.53,"KOSPI","기타금융",621201973590,281,23.1,15699,0.41,110,1.69
"371","052400","코나아이",39900,2000,5.28,"KOSDAQ","소프트웨어",620808808200,NA,NA,5557,7.18,0,0
"372","058820","CMG제약",4455,15,0.34,"KOSDAQ","제약",618764947020,25,178.2,1297,3.43,0,0
"373","042000","카페24",32850,-500,-1.5,"KOSDAQ","인터넷",618720979050,356,92.28,6203,5.3,0,0
"374","033660","우리금융캐피탈",10750,-50,-0.46,"KOSPI","기타금융",618618317500,1784,6.03,14145,0.76,650,6.05
"375","263050","유틸렉스",40400,-600,-1.46,"KOSDAQ","제약",612346638000,NA,NA,4300,9.4,0,0
"376","053030","바이넥스",19250,1350,7.54,"KOSDAQ","제약",611400174000,273,70.51,5056,3.81,0,0
"377","067630","에이치엘비생명과학",12950,0,0,"KOSDAQ","기타서비스",609821366350,NA,NA,3547,3.65,0,0
"378","121800","비덴트",13300,250,1.92,"KOSDAQ","통신장비",607461606500,NA,NA,7328,1.81,0,0
"379","038500","삼표시멘트",5640,140,2.55,"KOSDAQ","비금속",605494455720,173,32.6,5916,0.95,50,0.89
"380","060150","인선이엔티",13000,0,0,"KOSDAQ","기타서비스",605326956000,441,29.48,5361,2.42,0,0
"381","090460","비에이치",18000,-150,-0.83,"KOSDAQ","IT부품",602508384000,1926,9.35,8551,2.11,0,0
"382","226950","올릭스",43900,-550,-1.24,"KOSDAQ","기타서비스",598934724000,NA,NA,3203,13.71,0,0
"383","097230","한진중공업",7190,230,3.3,"KOSPI","건설업",598742080390,5185,1.39,2943,2.44,0,0
"384","145990","삼양사",58000,200,0.35,"KOSPI","음식료품",598180042000,3375,17.19,104070,0.56,1000,1.72
"385","092190","서울바이오시스",15600,-250,-1.58,"KOSDAQ","IT부품",596288986800,147,106.12,4404,3.54,38,0.24
"386","008490","서흥",51400,200,0.39,"KOSPI","화학",594652408200,2853,18.02,25552,2.01,400,0.78
"387","271980","제일약품",40400,300,0.75,"KOSPI","의약품",594076828800,NA,NA,11564,3.49,70,0.17
"388","226320","잇츠한불",27050,150,0.56,"KOSPI","화학",593187970750,NA,NA,18789,1.44,100,0.37
"389","039840","디오",38200,200,0.53,"KOSDAQ","의료·정밀기기",593001596400,1483,25.76,9174,4.16,0,0
"390","286940","롯데정보통신",38100,0,0,"KOSPI","서비스업",586600211100,3720,10.24,25357,1.5,700,1.84
"391","014830","유니드",65800,200,0.3,"KOSPI","화학",584951669400,7600,8.66,79982,0.82,1200,1.82
"392","091700","파트론",10800,-100,-0.92,"KOSDAQ","IT부품",584889228000,1186,9.11,6531,1.65,350,3.24
"393","005180","빙그레",59200,100,0.17,"KOSPI","음식료품",583193467200,4644,12.75,57976,1.02,1450,2.45
"394","010050","우리종금",665,1,0.15,"KOSPI","기타금융",581345264990,78,8.53,536,1.24,0,0
"395","102710","이엔에프테크놀로지",40500,300,0.75,"KOSDAQ","화학",578657358000,3285,12.33,18688,2.17,150,0.37
"396","204270","제이앤티씨",10000,80,0.81,"KOSDAQ","일반전기전자",578484660000,1691,5.91,5638,1.77,0,0
"397","078160","메디포스트",35550,300,0.85,"KOSDAQ","제약",578192096700,NA,NA,7145,4.98,0,0
"398","036810","에프에스티",28500,-950,-3.23,"KOSDAQ","반도체",576663699000,1002,28.44,5592,5.1,80,0.28
"399","215000","골프존",91600,-1300,-1.4,"KOSDAQ","소프트웨어",574828014000,2585,35.44,31877,2.87,2050,2.24
"400","081000","일진다이아",40300,200,0.5,"KOSPI","화학",572379892500,914,44.09,12656,3.18,300,0.74
"401","000370","한화손해보험",4870,10,0.21,"KOSPI","보험",568518516050,NA,NA,12154,0.4,0,0
"402","005090","SGC에너지",38500,-300,-0.77,"KOSPI","전기가스업",565064654000,NA,NA,56341,0.68,1000,2.6
"403","122450","KMH",12450,450,3.75,"KOSDAQ","방송서비스",564432751800,334,37.28,4835,2.57,70,0.56
"404","267980","매일유업",71500,100,0.14,"KOSDAQ","음식료·담배",560820117000,8206,8.71,51460,1.39,800,1.12
"405","232140","와이아이케이",6890,-60,-0.86,"KOSDAQ","반도체",560296839440,NA,NA,1580,4.36,0,0
"406","002780","진흥기업",3850,-115,-2.9,"KOSPI","건설업",560066218250,140,27.5,664,5.8,0,0
"407","000400","롯데손해보험",1800,55,3.15,"KOSPI","보험",558605376000,NA,NA,3112,0.58,0,0
"408","281820","케이씨텍",26750,-300,-1.11,"KOSPI","의료정밀",558046623000,1859,14.39,14541,1.84,200,0.75
"409","243070","휴온스",56100,200,0.36,"KOSDAQ","제약",554309738400,3525,15.91,17921,3.13,700,1.25
"410","049070","인탑스",32200,1450,4.72,"KOSDAQ","IT부품",5.5384e+11,2073,15.53,25323,1.27,250,0.78
